"","sub","HelpSelf","HelpOther","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther"
"70","6644",0.5833,0.5417,0.5,0.75,0.5,0.5,0.5,0.625,0.6667,0.8333,0.6667,0.1667,0.3333,0.8333,0.5,0.5,0.5833,0.5417
"71","6707",0.9167,0.9167,0.875,1,0.875,0.875,1,0.875,0.6667,1,1,1,1,0.8333,0.8333,1,1,1
"72","6770",0.9583,0.4167,1,0.875,1,0.625,0.25,0.375,1,1,1,0.8333,0.6667,0.3333,0.5,0.1667,0.9583,0.5882
"73","6802",0.875,0.25,0.75,0.875,1,0,0.375,0.375,0.8333,0.8333,0.8333,1,0,0.5,0.1667,0.3333,1,0.4615
"74","6996",0.2917,0.2917,0.375,0.25,0.25,0.25,0.5,0.125,0,0.1667,0.3333,0.6667,0.3333,0.5,0,0.3333,0.4118,0.3889
"75","7047",0.7917,0.8333,0.625,0.75,1,0.75,0.875,0.875,0.8333,0.8333,0.5,1,0.8333,1,0.6667,0.8333,1,1
"76","7107",0.875,0.5417,0.75,1,0.875,0.375,0.875,0.375,0.8333,0.8333,1,0.8333,0.3333,0.3333,1,0.5,1,0.65
"77","7389",0.9583,0.8333,1,0.875,1,0.75,0.875,0.875,1,1,1,0.8333,0.6667,1,1,0.6667,0.9583,1
"78","7512",0.7917,0.9167,0.75,0.875,0.75,0.875,1,0.875,0.5,0.6667,1,1,0.8333,1,0.8333,1,1,1
"79","7656",1,0.2083,1,1,1,0.375,0.125,0.125,1,1,1,1,0.3333,0.1667,0.3333,0,1,0.2381
"80","7772",0.75,0.7917,0.625,0.875,0.75,0.625,0.875,0.875,0.8333,0.8333,0.8333,0.5,0.6667,0.8333,0.8333,0.8333,0.8182,0.8261
"81","7803",0.5833,0.5833,0.75,0.375,0.625,0.5,0.625,0.625,0.5,0.6667,0.6667,0.5,0.8333,0.6667,0.5,0.3333,0.5833,0.5833
"82","7875",1,0.8333,1,1,1,0.75,0.875,0.875,1,1,1,1,0.8333,1,0.8333,0.6667,1,1
"83","7927",0.9583,0.9167,1,0.875,1,0.875,0.875,1,1,1,0.8333,1,1,0.8333,1,0.8333,1,1
"84","7937",0.9167,0.875,0.75,1,1,0.875,0.875,0.875,0.8333,1,0.8333,1,0.5,1,1,1,1,0.913
"85","8228",0.875,0.5,0.875,0.875,0.875,0.5,0.5,0.5,0.8333,0.8333,1,0.8333,0.8333,0.5,0,0.6667,0.875,0.5
"86","8251",1,0.875,1,1,1,0.875,0.75,1,1,1,1,1,1,0.8333,0.6667,1,1,0.875
"87","8352",0.5833,0.5833,0.75,0.625,0.375,0.625,0.5,0.625,0.5,0.6667,0.6667,0.5,0.5,0.5,0.6667,0.6667,0.875,0.8235
"88","8604",0.8333,0.9583,0.75,0.875,0.875,1,0.875,1,0.6667,1,0.6667,1,1,1,1,0.8333,1,1
"89","8704",0.9167,0.75,0.875,0.875,1,0.625,0.875,0.75,1,1,0.8333,0.8333,1,0.8333,0.8333,0.3333,0.9565,0.7826
"90","8925",0.9583,0.5417,1,0.875,1,0.625,0.5,0.5,1,1,1,0.8333,0.5,0.5,0.8333,0.3333,0.9583,0.5417
"91","8949",0.7083,0.7083,0.5,0.75,0.875,0.625,0.75,0.75,0.5,0.6667,0.8333,0.8333,0.6667,1,0.8333,0.3333,0.7083,0.7391
"92","8987",0.875,0.875,0.625,1,1,0.625,1,1,1,0.8333,0.8333,0.8333,0.6667,1,0.8333,1,0.913,0.875
"93","9045",0.7083,0.5833,0.125,1,1,0.125,0.625,1,0.6667,0.6667,0.6667,0.8333,0.5,0.8333,0.5,0.5,0.7083,0.6087
"94","9203",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"95","9350",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96","9477",0.7917,0.75,0.625,0.875,0.875,0.75,0.75,0.75,0.8333,0.8333,1,0.5,0.8333,0.8333,1,0.3333,1,1
"97","9585",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98","9593",0.8333,0.9583,0.875,1,0.625,0.875,1,1,0.6667,1,0.8333,0.8333,1,1,1,0.8333,0.8696,1
"99","9620",0.9583,0.9167,0.875,1,1,1,0.875,0.875,0.8333,1,1,1,1,1,0.8333,0.8333,0.9583,0.9565
"100","9779",0.8333,0.75,0.875,0.625,1,0.75,0.875,0.625,0.6667,1,0.8333,0.8333,1,0.8333,0.8333,0.3333,0.8696,0.7826
"101","9912",1,0.375,1,1,1,0.375,0.625,0.125,1,1,1,1,0.3333,0.3333,0.3333,0.5,1,0.5294
