"sub","trial","decision","reward","effort","agent","success","grupo"
"0548",33,1,3,3,1,0,0
"0548",34,1,1,4,1,0,0
"0548",35,1,2,4,1,1,0
"0548",36,1,3,4,1,0,0
"0548",37,2,1,1,1,0,0
"0548",38,1,2,1,1,0,0
"0548",39,1,3,1,1,0,0
"0548",40,1,1,2,1,0,0
"0548",41,1,2,2,1,0,0
"0548",42,1,3,2,1,0,0
"0548",43,1,1,3,1,0,0
"0548",44,1,2,3,1,0,0
"0548",45,1,3,3,1,0,0
"0548",46,1,1,4,1,0,0
"0548",47,1,2,4,1,0,0
"0548",48,1,3,4,1,0,0
"0849",1,1,1,1,0,0,1
"0849",2,1,2,1,0,0,1
"0849",3,1,3,1,0,0,1
"0849",4,1,1,2,0,0,1
"0849",5,1,2,2,0,0,1
"0849",6,1,3,2,0,0,1
"0849",7,1,1,3,0,0,1
"0849",8,1,2,3,0,0,1
"0849",9,1,3,3,0,0,1
"0849",10,2,1,4,0,0,1
"0849",11,2,2,4,0,0,1
"0849",12,1,3,4,0,0,1
"0849",13,1,1,1,0,0,1
"0849",14,1,2,1,0,0,1
"0849",15,1,3,1,0,0,1
"0849",16,1,1,2,0,0,1
"0849",17,1,2,2,0,1,1
"0849",18,1,3,2,0,0,1
"0849",19,1,1,3,0,0,1
"0849",20,2,2,3,0,0,1
"0849",21,1,3,3,0,0,1
"0849",22,1,1,4,0,0,1
"0849",23,1,2,4,0,0,1
"0849",24,1,3,4,0,0,1
"0849",25,1,1,1,1,0,1
"0849",26,1,2,1,1,0,1
"0849",27,1,3,1,1,0,1
"0849",28,1,1,2,1,0,1
"0849",29,2,2,2,1,0,1
"0849",30,1,3,2,1,0,1
"0849",31,1,1,3,1,0,1
"0849",32,1,2,3,1,1,1
"0849",33,1,3,3,1,0,1
"0849",34,1,1,4,1,0,1
"0849",35,1,2,4,1,0,1
"0849",36,1,3,4,1,0,1
"0849",37,1,1,1,1,0,1
"0849",38,1,2,1,1,0,1
"0849",39,1,3,1,1,0,1
"0849",40,1,1,2,1,0,1
"0849",41,1,2,2,1,0,1
"0849",42,1,3,2,1,0,1
"0849",43,1,1,3,1,0,1
"0849",44,1,2,3,1,0,1
"0849",45,1,3,3,1,0,1
"0849",46,1,1,4,1,0,1
"0849",47,1,2,4,1,0,1
"0849",48,1,3,4,1,0,1
"0893",1,1,1,1,0,0,1
"0893",2,1,2,1,0,0,1
"0893",3,1,3,1,0,0,1
"0893",4,1,1,2,0,0,1
"0893",5,1,2,2,0,0,1
"0893",6,1,3,2,0,0,1
"0893",7,1,1,3,0,0,1
"0893",8,1,2,3,0,0,1
"0893",9,1,3,3,0,0,1
"0893",10,1,1,4,0,0,1
"0893",11,1,2,4,0,0,1
"0893",12,1,3,4,0,0,1
"0893",13,1,1,1,0,0,1
"0893",14,1,2,1,0,0,1
"0893",15,1,3,1,0,0,1
"0893",16,1,1,2,0,0,1
"0893",17,1,2,2,0,0,1
"0893",18,1,3,2,0,0,1
"0893",19,1,1,3,0,0,1
"0893",20,1,2,3,0,0,1
"0893",21,1,3,3,0,0,1
"0893",22,1,1,4,0,0,1
"0893",23,1,2,4,0,0,1
"0893",24,1,3,4,0,0,1
"0893",25,1,1,1,1,0,1
"0893",26,1,2,1,1,0,1
"0893",27,1,3,1,1,0,1
"0893",28,1,1,2,1,0,1
"0893",29,1,2,2,1,0,1
"0893",30,1,3,2,1,0,1
"0893",31,1,1,3,1,0,1
"0893",32,1,2,3,1,0,1
"0893",33,1,3,3,1,0,1
"0893",34,1,1,4,1,0,1
"0893",35,1,2,4,1,0,1
"0893",36,1,3,4,1,0,1
"0893",37,1,1,1,1,0,1
"0893",38,1,2,1,1,0,1
"0893",39,1,3,1,1,0,1
"0893",40,1,1,2,1,0,1
"0893",41,1,2,2,1,0,1
"0893",42,1,3,2,1,0,1
"0893",43,1,1,3,1,0,1
"0893",44,1,2,3,1,0,1
"0893",45,1,3,3,1,0,1
"0893",46,1,1,4,1,0,1
"0893",47,1,2,4,1,0,1
"0893",48,1,3,4,1,0,1
"0974",1,1,1,1,0,0,1
"0974",2,0,2,1,0,0,1
"0974",3,1,3,1,0,0,1
"0974",4,1,1,2,0,0,1
"0974",5,1,2,2,0,0,1
"0974",6,1,3,2,0,0,1
"0974",7,0,1,3,0,0,1
"0974",8,2,2,3,0,0,1
"0974",9,2,3,3,0,0,1
"0974",10,0,1,4,0,0,1
"0974",11,1,2,4,0,1,1
"0974",12,2,3,4,0,0,1
"0974",13,1,1,1,0,0,1
"0974",14,1,2,1,0,1,1
"0974",15,1,3,1,0,0,1
"0974",16,0,1,2,0,0,1
"0974",17,1,2,2,0,0,1
"0974",18,1,3,2,0,1,1
"0974",19,2,1,3,0,0,1
"0974",20,1,2,3,0,0,1
"0974",21,1,3,3,0,0,1
"0974",22,0,1,4,0,0,1
"0974",23,0,2,4,0,0,1
"0974",24,2,3,4,0,0,1
"0974",25,1,1,1,1,0,1
"0974",26,2,2,1,1,0,1
"0974",27,1,3,1,1,0,1
"0974",28,1,1,2,1,0,1
"0974",29,1,2,2,1,0,1
"0974",30,2,3,2,1,0,1
"0974",31,0,1,3,1,0,1
"0974",32,1,2,3,1,0,1
"0974",33,1,3,3,1,0,1
"0974",34,0,1,4,1,0,1
"0974",35,0,2,4,1,0,1
"0974",36,0,3,4,1,0,1
"0974",37,1,1,1,1,0,1
"0974",38,1,2,1,1,0,1
"0974",39,1,3,1,1,0,1
"0974",40,1,1,2,1,0,1
"0974",41,1,2,2,1,0,1
"0974",42,1,3,2,1,0,1
"0974",43,0,1,3,1,0,1
"0974",44,0,2,3,1,0,1
"0974",45,1,3,3,1,0,1
"0974",46,0,1,4,1,0,1
"0974",47,0,2,4,1,0,1
"0974",48,1,3,4,1,0,1
"1019",1,1,1,1,0,0,1
"1019",2,1,2,1,0,0,1
"1019",3,1,3,1,0,0,1
"1019",4,1,1,2,0,0,1
"1019",5,1,2,2,0,0,1
"1019",6,1,3,2,0,0,1
"1019",7,1,1,3,0,0,1
"1019",8,1,2,3,0,0,1
"1019",9,1,3,3,0,0,1
"1019",10,1,1,4,0,0,1
"1019",11,1,2,4,0,0,1
"1019",12,1,3,4,0,0,1
"1019",13,1,1,1,0,0,1
"1019",14,1,2,1,0,1,1
"1019",15,1,3,1,0,0,1
"1019",16,1,1,2,0,0,1
"1019",17,1,2,2,0,0,1
"1019",18,1,3,2,0,0,1
"1019",19,1,1,3,0,0,1
"1019",20,1,2,3,0,0,1
"1019",21,1,3,3,0,0,1
"1019",22,1,1,4,0,0,1
"1019",23,1,2,4,0,0,1
"1019",24,1,3,4,0,0,1
"1019",25,0,1,1,1,0,1
"1019",26,2,2,1,1,0,1
"1019",27,0,3,1,1,0,1
"1019",28,0,1,2,1,0,1
"1019",29,0,2,2,1,0,1
"1019",30,0,3,2,1,0,1
"1019",31,0,1,3,1,0,1
"1019",32,1,2,3,1,0,1
"1019",33,0,3,3,1,0,1
"1019",34,0,1,4,1,0,1
"1019",35,0,2,4,1,0,1
"1019",36,0,3,4,1,0,1
"1019",37,0,1,1,1,0,1
"1019",38,2,2,1,1,0,1
